id,position,stateID,stateClientUUID,stateUnifiedBillID,lobbyistRepName,clientName,lobbyistFirmName,positionNumeric,year,startDate,endDate,recordType,committee,title,description,legiscanBill,ncslTopicsParsed,ncslMetatopicsParsed,sessionTitle,nameCanonical,
10038743,OPP,IL,IL_22975,IL_HB_0000002880_2021,Colleen Daley,Internet Association,Internet Association,-1,2021,2021-03-23T00:00:00.000Z,2021-03-23T00:00:00.000Z,testimony,H Judiciary - Civil,DIGITAL IDENTITY ASSET-ROYALTY,"Amends the Personal Information Protection Act. Provides that individuals and entities have intellectual property rights in their digital identity assets. Provides for the payment of royalties to individuals and entities for access, for the purpose of commercial advertising, to their digital assets. Authorizes civil actions for actual damages and statutory damages. Limits liability of State and local government. Defines terms.",HB2880,null,null,2021-2022 Regular Session,Internet Association,
10050888,OPP,IL,IL_22975,IL_HB_0000002553_2021,Colleen Daley,Internet Association,Internet Association,-1,2021,2021-04-20T00:00:00.000Z,2021-04-20T00:00:00.000Z,testimony,H Judiciary - Criminal,PROTECTING HOUSEHOLD PRIVACY,"Creates Protecting Household Privacy Act. Reinserts the provisions of the introduced bill with these exceptions. Changes the exceptions in which law enforcement agency may obtain household electronic data. Provides that a law enforcement agency may obtain the data (1) if a law enforcement agency first obtains a warrant under the Code of Criminal Procedure of 1963; (2) a specified emergency situation exists; or (3) with the lawful consent of the owner of the household electronic device or person in actual or constructive possession of the household electronic device, excluding law enforcement personnel. Provides that nothing in the Act shall be construed to apply to the interception, recording, wiretap, or other acquisition of electronic communications as they are transmitted in real time. Provides that in the event of any conflict between the Act and any applicable federal or State law, the requirement that establishes the higher standard for law enforcement to obtain information shall govern.",HB2553,null,null,2021-2022 Regular Session,Internet Association,
10656051,PROP,IL,IL_22975,IL_SB_0000001735_2017,Dustin Brighton,Internet Association,Internet Association,1,2017,2017-03-08T00:00:00.000Z,2017-03-08T00:00:00.000Z,testimony,S Local Government,SHORT-TERM RENTAL REGULATION,"Creates the Short-Term Rental Act. Provides that units of local government may not enact or enforce an ordinance, regulation, or plan that has the express or practical effect of prohibiting short-term rentals. Restricts the use of or regulation of short-term rentals based on their classification, use, or occupancy. Allows the regulation of short-term rentals to protect public health, safety, sanitation, traffic control, solid or hazardous waste control, pollution control, and other specified circumstances. Provides that a unit of local government may not tax a short-term rental marketplace or require them to collect taxes from occupants, but the short-term rental marketplace may voluntarily apply, calculate, collect, and remit any tax imposed by the unit of local government on the owner or occupant of a short-term rental. Limits home rule powers. Effective immediately.",SB1735,null,null,2017-2018 Regular Session,Internet Association,
10717438,PROP,IL,IL_22975,IL_SB_0000002066_2021,Colleen Daley,Internet Association,Internet Association,1,2021,2021-05-06T00:00:00.000Z,2021-05-06T00:00:00.000Z,testimony,H Revenue & Finance,RET OCC TX-MKTPLCE FACILITATOR,"Amends the Retailers' Occupation Tax Act. Provides that, beginning January 1, 2020 and through December 31, 2020, sales of tangible personal property made by a marketplace seller over a marketplace for which tax is due but for which use tax has been collected and remitted to the Department of Revenue by a marketplace facilitator are exempt. Provides that the term ""marketplace facilitator"" does not include any person licensed under the Auction License Act, other than any person who is an Internet auction listing service. Amends the Leveling the Playing Field for Illinois Retail Act. Provides that certified service providers who collect and remit taxes on behalf of retailers may claim the retailers' discount with respect to those taxes. Provides that the retailer is not entitled to the discount with respect to those taxes. Effective immediately.",SB2066,null,null,2021-2022 Regular Session,Internet Association,
10717531,PROP,IL,IL_22975,IL_SB_0000002066_2021,Colleen Daley,Internet Association,Internet Association,1,2021,2021-04-14T00:00:00.000Z,2021-04-14T00:00:00.000Z,testimony,S Revenue,RET OCC TX-MKTPLCE FACILITATOR,"Amends the Retailers' Occupation Tax Act. Provides that, beginning January 1, 2020 and through December 31, 2020, sales of tangible personal property made by a marketplace seller over a marketplace for which tax is due but for which use tax has been collected and remitted to the Department of Revenue by a marketplace facilitator are exempt. Provides that the term ""marketplace facilitator"" does not include any person licensed under the Auction License Act, other than any person who is an Internet auction listing service. Amends the Leveling the Playing Field for Illinois Retail Act. Provides that certified service providers who collect and remit taxes on behalf of retailers may claim the retailers' discount with respect to those taxes. Provides that the retailer is not entitled to the discount with respect to those taxes. Effective immediately.",SB2066,null,null,2021-2022 Regular Session,Internet Association,
10733045,PROP,IL,IL_22975,IL_SB_0000002183_2021,Colleen Daley,Internet Association,Internet Association,1,2021,2021-05-12T00:00:00.000Z,2021-05-12T00:00:00.000Z,testimony,H Labor & Commerce,TRANSPORT NETWORK-REPEAL 2027,"If and only if House Bill 156 of the 101st General Assembly becomes law, amends the Transportation Network Providers Act. Repeals the Act on January 1, 2027 (instead of June 1, 2021). Effective immediately.",SB2183,null,null,2021-2022 Regular Session,Internet Association,
10733051,PROP,IL,IL_22975,IL_SB_0000002183_2021,Colleen Daley,Internet Association,Internet Association,1,2021,2021-04-14T00:00:00.000Z,2021-04-14T00:00:00.000Z,testimony,S Executive,TRANSPORT NETWORK-REPEAL 2027,"If and only if House Bill 156 of the 101st General Assembly becomes law, amends the Transportation Network Providers Act. Repeals the Act on January 1, 2027 (instead of June 1, 2021). Effective immediately.",SB2183,null,null,2021-2022 Regular Session,Internet Association,
10786866,PROP,IL,IL_22975,IL_SB_0000002403_2021,Colleen Daley,Internet Association,Internet Association,1,2021,2021-04-14T00:00:00.000Z,2021-04-14T00:00:00.000Z,testimony,S Executive,CAR-SHARING PROGRAM ACT,"Creates the Car-Sharing Program Act. Adds provisions governing: insurance coverage requirements during car-sharing periods; notification of implications of lien; exclusions in motor vehicle liability insurance policies; recordkeeping requirements; vicarious liability; contribution against indemnification; insurable interests; consumer protection disclosures; driver's license verification; data retention; responsibility for equipment; and automobile safety recalls. Effective January 1, 2022.",SB2403,null,null,2021-2022 Regular Session,Internet Association,
11057877,PROP,IL,IL_22975,IL_HB_0000003712_2021,Colleen Daley,Internet Association,Internet Association,1,2021,2021-03-23T00:00:00.000Z,2021-03-23T00:00:00.000Z,testimony,H Judiciary - Civil,CAR-SHARING PROGRAM ACT,"Creates the Car-Sharing Program Act. Adds provisions governing: insurance coverage requirements during car-sharing periods; notification of implications of lien; exclusions in motor vehicle liability insurance policies; recordkeeping requirements; vicarious liability; contribution against indemnification; insurable interests; consumer protection disclosures; driver's license verification; data retention; responsibility for equipment; and automobile safety recalls. Effective January 1, 2022.",HB3712,null,null,2021-2022 Regular Session,Internet Association,
11262995,PROP,IL,IL_22975,IL_HB_0000005204_2019,Colleen Daley,Internet Association,Internet Association,1,2020,2020-03-04T00:00:00.000Z,2020-03-04T00:00:00.000Z,testimony,H Commercial Law Subcommittee,CYBERSECURITY LEGAL DEFENSE,"Creates the Cybersecurity Compliance Act. Defines terms. Creates an affirmative defense for every covered entity that creates, maintains, and complies with a written cybersecurity program that contains administrative, technical, and physical safeguards for the protection of either personal information or both personal information and restricted information and that reasonably conforms to an industry-recognized cybersecurity framework. Prescribes requirements for the cybersecurity program.",HB5204,null,null,2019-2020 Regular Session,Internet Association,
11263001,PROP,IL,IL_22975,IL_HB_0000005204_2019,Colleen Daley,Internet Association,Internet Association,1,2020,2020-03-04T00:00:00.000Z,2020-03-04T00:00:00.000Z,testimony,H Judiciary - Civil,CYBERSECURITY LEGAL DEFENSE,"Creates the Cybersecurity Compliance Act. Defines terms. Creates an affirmative defense for every covered entity that creates, maintains, and complies with a written cybersecurity program that contains administrative, technical, and physical safeguards for the protection of either personal information or both personal information and restricted information and that reasonably conforms to an industry-recognized cybersecurity framework. Prescribes requirements for the cybersecurity program.",HB5204,null,null,2019-2020 Regular Session,Internet Association,
